Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14
7.32,96.23,-1.24,0.0007,4.45,0.0412,0.0188,0.3057,5.21,98.6,610140,10.63,35.85,4.7329,2010
10.11,96.45,-0.39,0.0045,3.12,0.0218,0.0523,0.4272,5.21,98.6,610140,10.63,35.85,4.7329,2010
0.68,96.28,-0.33,0.0011,3.02,0.0262,0.0462,0.2585,5.21,98.6,610140,10.63,35.85,4.7329,2010
12.72,95.67,-17.25,0.0003,3.95,0.0891,0.0694,0.7923,5.21,98.6,610140,10.63,35.85,4.7329,2010
11.2,123.29,-0.87,-0.0199,3.17,0.0038,0.1488,0.919,5.21,98.6,610140,10.63,35.85,4.7329,2010
11.45,92.43,0,-0.0021,3.43,0.002,0.2645,1.1388,5.21,98.6,610140,10.63,35.85,4.7329,2010
10.65,95.27,0,-0.003,2.74,0.0054,0.0664,0.4903,5.21,98.6,610140,10.63,35.85,4.7329,2010
8.55,96.77,0,0.0059,3.84,0.0238,0.1403,0.4198,5.21,98.6,610140,10.63,35.85,4.7329,2010
6.84,95.1,0,0.0052,4.13,0.0561,0.0748,0.318,5.21,98.6,610140,10.63,35.85,4.7329,2010
28.55,95.11,0,-0.005,0.12,0.0031,0.3054,0.8486,5.21,98.6,610140,10.63,35.85,4.7329,2010
8.43,94.31,-13.85,0.0056,3.24,0.1813,0.0694,0.55,4.39,100,617078,3.8,35.07,5.142,2011
23.94,98.44,0,-0.0009,-0.04,0.0264,0.0711,1.646,4.39,100,617078,3.8,35.07,5.142,2011
7.7,94.7,0,-0.0177,-0.25,0.0134,0.0385,0.1223,4.39,100,617078,3.8,35.07,5.142,2011
14.49,91.44,0,0.0046,2.44,0.0059,0.0761,0.144,4.39,100,617078,3.8,35.07,5.142,2011
14.11,102.51,0,0.0037,-0.1,0.0031,0.1192,0.6493,4.39,100,617078,3.8,35.07,5.142,2011
5.49,93.78,0,-0.0127,1.16,0.0024,0,0.7499,4.39,100,617078,3.8,35.07,5.142,2011
2.92,98.79,0,0.0025,0.15,0.0181,0.1254,0.416,4.39,100,617078,3.8,35.07,5.142,2011
11.5,138.89,0,-0.1214,-4.45,0.0037,0.1453,0.5473,4.39,100,617078,3.8,35.07,5.142,2011
11.35,125.36,5.03,-0.0213,3.15,0.0179,0.1286,0.6291,4.39,100,617078,3.8,35.07,5.142,2011
5.45,96.57,0,0.0001,2.82,0.2538,0.0448,0.6396,4.39,100,617078,3.8,35.07,5.142,2011
50.38,95.68,0,-0.0099,-0.63,0.0165,0,0.4229,4.39,100,617078,3.8,35.07,5.142,2011
6.33,92.73,0,0.0006,2.47,0.0032,0.0824,0.4208,4.39,100,617078,3.8,35.07,5.142,2011
7.7,98.39,0,-0.0163,2.69,0.0168,0.0561,0.1691,4.39,100,617078,3.8,35.07,5.142,2011
20.95,93.36,0,-0.0648,1,0.0007,0,0.3322,4.39,100,617078,3.8,35.07,5.142,2011
27.79,83.48,0.7,-0.0219,1.2,0.0045,0.2647,0.2746,4.39,100,617078,3.8,35.07,5.142,2011
8.3,92.14,0,0.0019,3.88,0.1136,0.0324,0.7294,4.39,100,617078,3.8,35.07,5.142,2011
13.47,97.2,0,0.0067,2.92,0.0091,0.0451,0.7868,4.39,100,617078,3.8,35.07,5.142,2011
9.44,97.64,0,0.0017,2.84,0.0468,0.1251,0.4008,4.39,100,617078,3.8,35.07,5.142,2011
10.4,97.41,0,0.0009,3.27,0.0252,0.0303,0.537,4.39,100,617078,3.8,35.07,5.142,2011
0.74,98.29,0,0.0011,3.03,0.0251,0.0333,0.2161,4.39,100,617078,3.8,35.07,5.142,2011
15.79,97.06,0,0.0016,3.92,0.0879,0.0638,1.1093,4.39,100,617078,3.8,35.07,5.142,2011
9.93,135.38,0,-0.098,-4.08,0.0031,0.0525,1.3361,4.39,100,617078,3.8,35.07,5.142,2011
8.45,90.28,0,-0.0061,4.31,0.0021,0.7285,0.8826,4.39,100,617078,3.8,35.07,5.142,2011
12.23,94.85,0,0.0093,3.85,0.0059,0.0431,0.4813,4.39,100,617078,3.8,35.07,5.142,2011
8.3,99.21,0,-0.0146,1.67,0.0308,0.0853,0.4943,4.39,100,617078,3.8,35.07,5.142,2011
6.68,95.5,0,0.0058,3.52,0.0713,0.0843,0.4586,4.39,100,617078,3.8,35.07,5.142,2011
